DATA_PRELIEVO_DIAGNOSI,CASI,iss_date
19/05/2022,26796,25/08/2022
19/06/2020,290,25/08/2022
19/06/2021,827,25/08/2022
19/06/2022,15647,25/08/2022
19/07/2020,111,25/08/2022
19/07/2021,4251,25/08/2022
19/07/2022,84125,25/08/2022
19/08/2020,1078,25/08/2022
19/08/2021,7197,25/08/2022
19/08/2022,23364,25/08/2022
19/09/2020,1338,25/08/2022
19/09/2021,1707,25/08/2022
19/10/2020,17663,25/08/2022
19/10/2021,3951,25/08/2022
19/11/2020,35487,25/08/2022
19/11/2021,11627,25/08/2022
19/12/2020,12998,25/08/2022
19/12/2021,12619,25/08/2022
20/01/2021,13809,25/08/2022
20/01/2022,174618,25/08/2022
20/02/2020,<5,25/08/2022
20/02/2021,12701,25/08/2022
20/02/2022,20651,25/08/2022
20/03/2020,6259,25/08/2022
20/03/2021,17951,25/08/2022
20/03/2022,29235,25/08/2022
20/04/2020,3007,25/08/2022
20/04/2021,15702,25/08/2022
20/04/2022,76511,25/08/2022
20/05/2020,676,25/08/2022
20/05/2021,4427,25/08/2022
20/05/2022,24502,25/08/2022
20/06/2020,165,25/08/2022
20/06/2021,367,25/08/2022
20/06/2022,68997,25/08/2022
20/07/2020,319,25/08/2022
20/07/2021,5089,25/08/2022
20/07/2022,80529,25/08/2022
20/08/2020,1167,25/08/2022
20/08/2021,7540,25/08/2022
20/08/2022,19048,25/08/2022
20/09/2020,659,25/08/2022
20/09/2021,4267,25/08/2022
20/10/2020,19771,25/08/2022
20/10/2021,3968,25/08/2022
20/11/2020,32901,25/08/2022
20/11/2021,9758,25/08/2022
20/12/2020,6459,25/08/2022
20/12/2021,38812,25/08/2022
21/01/2021,12960,25/08/2022
21/01/2022,174752,25/08/2022
21/02/2020,36,25/08/2022
21/02/2021,5805,25/08/2022
21/02/2022,65728,25/08/2022
21/03/2020,4921,25/08/2022
21/03/2021,8440,25/08/2022
21/03/2022,105141,25/08/2022
21/04/2020,3081,25/08/2022
21/04/2021,14846,25/08/2022
21/04/2022,73161,25/08/2022
21/05/2020,621,25/08/2022
21/05/2021,4535,25/08/2022
21/05/2022,18015,25/08/2022
21/06/2020,62,25/08/2022
21/06/2021,958,25/08/2022
21/06/2022,52892,25/08/2022
21/07/2020,279,25/08/2022
21/07/2021,5147,25/08/2022
21/07/2022,70363,25/08/2022
21/08/2020,1424,25/08/2022
21/08/2021,5769,25/08/2022
21/08/2022,8333,25/08/2022
21/09/2020,1975,25/08/2022
21/09/2021,4153,25/08/2022
21/10/2020,22846,25/08/2022
21/10/2021,4061,25/08/2022
21/11/2020,22861,25/08/2022
21/11/2021,4444,25/08/2022
21/12/2020,17349,25/08/2022
21/12/2021,42741,25/08/2022
22/01/2021,13775,25/08/2022
22/01/2022,136564,25/08/2022
22/02/2020,58,25/08/2022
22/02/2021,18036,25/08/2022
22/02/2022,46153,25/08/2022
22/03/2020,3925,25/08/2022
22/03/2021,23394,25/08/2022
22/03/2022,77860,25/08/2022
22/04/2020,2603,25/08/2022
22/04/2021,14302,25/08/2022
22/04/2022,72434,25/08/2022
22/05/2020,685,25/08/2022
22/05/2021,3648,25/08/2022
22/05/2022,8714,25/08/2022
22/06/2020,338,25/08/2022
22/06/2021,941,25/08/2022
22/06/2022,58239,25/08/2022
22/07/2020,288,25/08/2022
22/07/2021,4975,25/08/2022
22/07/2022,68277,25/08/2022
22/08/2020,1059,25/08/2022
22/08/2021,3130,25/08/2022
22/08/2022,30010,25/08/2022
22/09/2020,1935,25/08/2022
22/09/2021,3879,25/08/2022
22/10/2020,24283,25/08/2022
22/10/2021,4540,25/08/2022
22/11/2020,10850,25/08/2022
22/11/2021,13037,25/08/2022
22/12/2020,19670,25/08/2022
22/12/2021,52159,25/08/2022
23/01/2021,10553,25/08/2022
23/01/2022,61786,25/08/2022
23/02/2020,77,25/08/2022
23/02/2021,19935,25/08/2022
23/02/2022,47160,25/08/2022
23/03/2020,6100,25/08/2022
23/03/2021,24607,25/08/2022
23/03/2022,82556,25/08/2022
23/04/2020,2810,25/08/2022
23/04/2021,14532,25/08/2022
23/04/2022,55869,25/08/2022
23/05/2020,356,25/08/2022
23/05/2021,1481,25/08/2022
23/05/2022,33987,25/08/2022
23/06/2020,289,25/08/2022
23/06/2021,809,25/08/2022
23/06/2022,57590,25/08/2022
23/07/2020,270,25/08/2022
23/07/2021,5453,25/08/2022
23/07/2022,51346,25/08/2022
23/08/2020,716,25/08/2022
23/08/2021,7869,25/08/2022
23/08/2022,14547,25/08/2022
23/09/2020,2058,25/08/2022
23/09/2021,3563,25/08/2022
23/10/2020,26210,25/08/2022
23/10/2021,3647,25/08/2022
23/11/2020,28509,25/08/2022
23/11/2021,13842,25/08/2022
23/12/2020,19181,25/08/2022
23/12/2021,59154,25/08/2022
24/01/2021,4888,25/08/2022
24/01/2022,209530,25/08/2022
24/02/2020,86,25/08/2022
24/02/2021,19982,25/08/2022
24/02/2022,41134,25/08/2022
24/03/2020,5915,25/08/2022
